job_title,location,company,salary,summary
Statistical Quant Analyst-4,"Atlanta, GA",SunTrust,Nothing_found,"Performs sophisticated data analytics (encompassing data mining, inferential statistical analysis, and predictive analytics, for example)...."
Senior Data Scientist,"Alpharetta, GA 30022",Verizon,Nothing_found,"As a Senior Data Scientist, you’ll lead projects that develop and perform complex analyses using Big Data technologies...."
Data Science Instructor,"Atlanta, GA",Thinkful,$20 - $25 an hour,"Proficiency in SQL, Python, scikit-learn, data visualizations and machine learning. You’ll lead technical workshops teaching the basics of data science..."
Data Scientist - Supply Chain Inventory Optimization,"Atlanta, GA",Double Edge Capital LLC,"$100,000 - $150,000 a year","Data visualization skills (Power BI, Tableau, supply chain maps, etc.). Database (MS Access and SQL Server) and data transformation skills strongly desired...."
Conjugation Scientist,"Norcross, GA",Caprico Biotechnologies,Nothing_found,"Interested applicants please send a resume, cover letter, and 3 references. Critical analysis of analytical and process data, and the interpretation of results...."
CFD Statistical and Research Analyst,"Atlanta, GA 30303 (Five Points area)",State of Georgia,Nothing_found,"This position performs highly specialized work in support of DCA programs requiring complex data management and statistical reporting systems, with emphasis on..."
Research Analyst/Advisor,"Atlanta, GA 30337",ICP Systems LLC,Nothing_found,"The mission of HRSA is to improve health and achieve health equity through access to quality health services, a skilled health workforce and innovative programs..."
"Sr. Associate, Data Scientist","Atlanta, GA 30338",KPMG,Nothing_found,"Minimum of two years of experience leading work streams with at least two data scientists, engineers, and other data & analytics professionals, including..."
Operations Research Analyst,"Alpharetta, GA",UNITED PARCEL SERVICE,Nothing_found,"Analyzes the available data; Experience with Tableau, R, and strong skills in SQL. Summarizes information from data sources...."
"Associate, Planning","Atlanta, GA",Mindshare,Nothing_found,"Our Media Planners are part psychologists, part scientists, part artists, part entrepreneurs, and part politicians...."
Sr. Data Scientist/Analytic Consultant 5,"Atlanta, GA",Wells Fargo,Nothing_found,"As part of the Enterprise Analytics and Data Science team, you will collaborate with other data scientists to generate innovative ideas, define analytical needs..."
"Specialist, Data Science - Sales Analytics","Atlanta, GA 30318",McKinsey & Company,"$108,000 - $159,000 a year (Indeed est.)","As a seasoned data scientist, you will lead project design and delivery. The Periscope platform combines world leading intellectual property, prescriptive..."
Machine Learning Developer,"Atlanta, GA",Meshfore LLC,$60 an hour,"Knowledge in programming languages like Python, Java, and analytics languages like R, Scala. Exposure to Data security requirements and Data privacy needs...."
Associate Sponsored Research Analyst,"Atlanta, GA",Emory University,Nothing_found,"Bachelor's degree in business management, applied science or a related field and 2 years of related experience...."
Rural Research Analyst/Advisor,"Atlanta, GA 30337",ICP Systems LLC,Nothing_found,"Rural health care setting, HIV advocacy organization, behavioral health, Federally Qualified Health Centers, public health policy experience, case management,..."
Senior Data Scientist,"Alpharetta, GA 30022",Verizon,Nothing_found,"As a Senior Data Scientist, you’ll lead projects that develop and perform complex analyses using Big Data technologies...."
Data Science Instructor,"Atlanta, GA",Thinkful,$20 - $25 an hour,"Proficiency in SQL, Python, scikit-learn, data visualizations and machine learning. You’ll lead technical workshops teaching the basics of data science..."
Entry Level Environmental Scientist,"Roswell, GA 30075","Atlantic Coast Consulting, inc.",Nothing_found,"Various field data collection and data reports. Salary will be very competitive, depending on experience, with an excellent benefits package which includes..."
Data Scientist - Supply Chain Inventory Optimization,"Atlanta, GA",Double Edge Capital LLC,"$100,000 - $150,000 a year","Data visualization skills (Power BI, Tableau, supply chain maps, etc.). Database (MS Access and SQL Server) and data transformation skills strongly desired...."
Conjugation Scientist,"Norcross, GA",Caprico Biotechnologies,Nothing_found,"Interested applicants please send a resume, cover letter, and 3 references. Critical analysis of analytical and process data, and the interpretation of results...."
Operations Research Analyst,"Alpharetta, GA",UNITED PARCEL SERVICE,Nothing_found,"Analyzes the available data; Experience with Tableau, R, and strong skills in SQL. Summarizes information from data sources. The OR Analyst may manage supervisors within the department...."
Mathematical Statistician,"Atlanta, GA",The Bizzell Group,Nothing_found,Work with scientists performing data analysis on requested projects including developing the methodology and creating data tables to answer research questions as presented by the scientist(s)....
Research and Data Analyst,"Savannah, GA 31401",Savannah College of Art and Design,Nothing_found,"The ideal candidate has experience with and understands relational databases and data mining, possesses excellent writer and verbal communication skills, and has the ability to work both independently..."
"Manager, Data Scientist","Atlanta, GA",Greensky,Nothing_found,"We have different roles where Data Scientists can contribute such as credit policy, valuations, collections analytics, operations analytics, fraud analytics, sales and marketing analytics...."
Machine Learning Software Engineer,"Sandy Springs, GA","PubWise, LLLP",Nothing_found,"We are seeking a Machine Learning Engineer to utilize their deep knowledge of machine learning algorithms, computer science, and software engineering to make their predictive models robust, scalable,..."
"Scientist, Asst Bioinformatics","Atlanta, GA 30329",Emory Healthcare,Nothing_found,"Qualification for this position requires demonstrated expertise in designing and developing software, databases, and interfaces for analyzing and manipulating research data applications including..."
Data Analytics Manager,"Atlanta, GA 30328",Unum,Nothing_found,"We are looking for an analytics manager to join our growing team of data analytics experts and manage the processes and people responsible for accurate data collection, processing, modeling, analysis..."
"Manager, Data Scientist, Machine Learning","Atlanta, GA 30338",KPMG,Nothing_found,"Minimum of five years of experience leading teams of at least five data scientists, engineers, and other data & analytics professionals, including business development, requirements gathering, people..."
"Manager, Machine Learning","Johns Creek, GA 30097",Macy's,Nothing_found,"Manage your direct reports to continually develop and apply skills relevant to the space, including Machine learning and statistical modeling techniques and Python/Scala programming skills on Apache..."
"Assistant Scientist, Bioinformatics","Atlanta, GA",Emory University,Nothing_found,"Strong skills with statistical packages in R to discover patterns, trends, and groups within complex biological data. This position will provide opportunities for multiple publications, cross..."
Senior Data Scientist,"Alpharetta, GA 30022",Verizon,Nothing_found,"As a Senior Data Scientist, you’ll lead projects that develop and perform complex analyses using Big Data technologies. Experience as a data scientist, analyst, or statistical modeler...."
Data Science Instructor,"Atlanta, GA",Thinkful,$20 - $25 an hour,"Proficiency in SQL, Python, scikit-learn, data visualizations and machine learning. You’ll lead technical workshops teaching the basics of data science primarily focusing on Python and you’ll give..."
Entry Level Environmental Scientist,"Roswell, GA 30075","Atlantic Coast Consulting, inc.",Nothing_found,"Various field data collection and data reports. Salary will be very competitive, depending on experience, with an excellent benefits package which includes medical, dental and vision coverage...."
Data Scientist - Supply Chain Inventory Optimization,"Atlanta, GA",Double Edge Capital LLC,"$100,000 - $150,000 a year","Data visualization skills (Power BI, Tableau, supply chain maps, etc.). Database (MS Access and SQL Server) and data transformation skills strongly desired...."
Conjugation Scientist,"Norcross, GA",Caprico Biotechnologies,Nothing_found,"Interested applicants please send a resume, cover letter, and 3 references. Critical analysis of analytical and process data, and the interpretation of results...."
POSITION TITLE: Clinical Research Analyst,"Sugar Hill, GA 30518",Clinical Data Solution,Nothing_found,"12 months as Clinical Research Analyst, Clinical Research Associate or related. Ensure and manage quality and timeliness for assigned tasks for designated..."
Mineral Characterization Scientist,"Johns Creek, GA",Imerys,Nothing_found,Manage Analytical Scientists. Coordinate with other Analytical scientists as needed to complete projects. Mineral Characterization Scientist....
Data Engineer,"Atlanta, GA","FraudScope, Inc.",Nothing_found,"We are seeking a talented data engineer with experience in data analytics, building large reservoirs of data, and performing efficient queries...."
Local Political or Social Scientist,Georgia,Social Impact,Nothing_found,"Collecting and analyzing data; We work across all development sectors including democracy and governance, health and education, the environment, and economic..."
Associate Research Analyst,"Norcross, GA","First Foster Consulting, LLC",$8 - $10 an hour,"Overtime often available:. We are seeking applicants who live in Hubzone designated area. The position is fast paced, and a successful intern will be adaptable,..."
Market Research Analyst,"Kennesaw, GA 30144",Yamaha,Nothing_found,"2+ years of experience in market research, data analysis, strategic planning, product development or consumer insights...."
"Quantitative Analyst Intern, Investments - Summer 2019","Atlanta, GA",Cortland,Nothing_found,"Leverage data science and analytics to identify investment opportunities. Knowledge of Tensorflow, xlwings, and the Python scientific stack is a plus...."
Statistical Quant Analyst-4,"Atlanta, GA",SunTrust,Nothing_found,"Performs sophisticated data analytics (encompassing data mining, inferential statistical analysis, and predictive analytics, for example)...."
Statistical Quantitative Analyst,"Atlanta, GA",SunTrust,Nothing_found,"Data Analysis (SQL, SAS and/or R), Finance (time value of money, yield curve); SunTrust does not discriminate against individuals on the basis of race, creed,..."
Entry-Level Natural Resource Scientist,"Kennesaw, GA",Wood,Nothing_found,"Prepares, evaluates and interprets data sets and test results, including conducting scientific and routine calculations. Collects field data;..."
Senior Data Scientist,"Alpharetta, GA 30022",Verizon,Nothing_found,"As a Senior Data Scientist, you’ll lead projects that develop and perform complex analyses using Big Data technologies...."
Data Science Instructor,"Atlanta, GA",Thinkful,$20 - $25 an hour,"Proficiency in SQL, Python, scikit-learn, data visualizations and machine learning. You’ll lead technical workshops teaching the basics of data science..."
Entry Level Environmental Scientist,"Roswell, GA 30075","Atlantic Coast Consulting, inc.",Nothing_found,"Various field data collection and data reports. Salary will be very competitive, depending on experience, with an excellent benefits package which includes..."
Data Scientist - Supply Chain Inventory Optimization,"Atlanta, GA",Double Edge Capital LLC,"$100,000 - $150,000 a year","Data visualization skills (Power BI, Tableau, supply chain maps, etc.). Database (MS Access and SQL Server) and data transformation skills strongly desired...."
Conjugation Scientist,"Norcross, GA",Caprico Biotechnologies,Nothing_found,"Interested applicants please send a resume, cover letter, and 3 references. Critical analysis of analytical and process data, and the interpretation of results...."
Big Data Engineer,"Atlanta, GA",Systemart LLC,Nothing_found,"Work experience as Solution Architect, Data Scientist, Data Analyst or similar role...."
"Digital Success Consultant - Atlanta, GA","Atlanta, GA 30301 (Buckhead area)",CDK Global,Nothing_found,"From data scientists to sales and client service experts, we’re hiring to support your growth and ours - Green light..."
Big Data Engineer,"Atlanta, GA",Crackajack Solutions,Nothing_found,"Work experience as Solution Architect, Data Scientist, Data Analyst or similar role...."
Rural TA Specialist/Research Analyst,"Atlanta, GA 30337",ICP Systems LLC,Nothing_found,"Experience in providing technical assistance around health policy, case management, program management, payment..."
Assistant Scientist (AR) SOM,"Atlanta, GA",Emory University,Nothing_found,Applicants applying with a M.D. Laboratory experience will be based on area of assignment....
Machine Learning Research Scientist,"Atlanta, GA 30327 (Buckhead area)",Travelport,Nothing_found,"His/her primary focus will be in formulating mathematical model, developing and applying data mining, machine learning..."
Machine Learning Software Engineer,"Sandy Springs, GA","PubWise, LLLP",Nothing_found,"We are seeking a Machine Learning Engineer to utilize their deep knowledge of machine learning algorithms, computer..."
BI/Big Data Developer 1,"Atlanta, GA 30354 (Lakewood Heights-Southeastern area)",NCR,Nothing_found,"Leveraging existing data platforms, data mining, visualization and machine learning...."
Coverage and Assessment Specialist,"Atlanta, GA 30305 (Buckhead area)",MAG Mutual Insurance Company,Nothing_found,Use data to identify and analyze macro trends. Work with Data Scientist to obtain and analyze pertinent data regarding...
"Quantitative Analyst Intern, Operations - Summer 2019","Atlanta, GA",Cortland,Nothing_found,Leverage data science and analytics to identify operational opportunities....
Senior Data Scientist,"Alpharetta, GA 30022",Verizon,Nothing_found,"As a Senior Data Scientist, you’ll lead projects that develop and perform complex analyses using Big Data technologies...."
Data Science Instructor,"Atlanta, GA",Thinkful,$20 - $25 an hour,"Proficiency in SQL, Python, scikit-learn, data visualizations and machine learning...."
"Scientist II, Discovery","Athens, GA 30601",Boehringer Ingelheim,Nothing_found,Contributes executing on a daily basis global research project activities within the screening unit and presents data to...
Entry Level Environmental Scientist,"Roswell, GA 30075","Atlantic Coast Consulting, inc.",Nothing_found,"Various field data collection and data reports. Salary will be very competitive, depending on experience, with an..."
Data Scientist - Supply Chain Inventory Optimization,"Atlanta, GA",Double Edge Capital LLC,"$100,000 - $150,000 a year","Data visualization skills (Power BI, Tableau, supply chain maps, etc.)...."
Conjugation Scientist,"Norcross, GA",Caprico Biotechnologies,Nothing_found,"Caprico Biotechnologies, Inc. (CBI), an Atlanta-based start-up biotech company, is focused on the development and..."
Senior Quantitative QA Analyst,"Atlanta, GA 30328",Intercontinental Exchange,Nothing_found,"This role requires frequent interaction with project managers, developers, product managers, and risk management/quantitative analysts in order to ensure that..."
"Assistant Scientist, Bioinformatics","Atlanta, GA",Emory University,Nothing_found,"Strong skills with statistical packages in R to discover patterns, trends, and groups within complex biological data...."
Associate Sponsored Research Analyst,"Atlanta, GA",Emory University,Nothing_found,"Bachelor's degree in business management, applied science or a related field and 2 years of related experience...."
Senior Quantitative Analyst,"Atlanta, GA",Intercontinental Exchange,Nothing_found,"Investigate and manage large data sets. Work experience in financial industry using C++, Python , SQL, VBA, or R preferred...."
Machine Learning Researcher - CIPHER,"Atlanta, GA 30318",Georgia Tech Research Institute,Nothing_found,The Machine Learning Researcher will perform basic and applied research on sponsored programs targeted at integrating machine learning and network defense and...
Economic Research Analyst/Sr. Economic Research Analyst,"Atlanta, GA",Federal Reserve Bank of Atlanta,Nothing_found,"Develops expertise regarding data sources and an in-depth knowledge of the various data series. Utilizes computer programs and databases for data retrieval,..."
Mathematical Statistician,"Atlanta, GA",The Bizzell Group,Nothing_found,Work with scientists performing data analysis on requested projects including developing the methodology and creating data tables to answer research questions...
"Data Science Artificial Intelligence Senior Consultant Atlanta,GA","Atlanta, GA",Capgemini,Nothing_found,"If you are passionate about solving problems in the realm of cognitive computing, big data, and machine learning while utilizing business acumen, statistical..."
"java full stack resources with react,redux and mocha chai test","Atlanta, GA",MXPRACTICE,Nothing_found,Be involved in collaborative research with civil service scientists. Experience in data integration utilizing web services and APIs (e.g....
Sr Quantitative Finance Analyst,"Atlanta, GA 30308 (Old Fourth Ward area)",Bank of America,Nothing_found,Bank of America has an opportunity for a Senior Quantitative Analyst on the Wholesale Credit Risk Team within the Alternative Modelling Group (AMG) of Global...
Data Science Instructor,"Atlanta, GA",Thinkful,$20 - $25 an hour,"Proficiency in SQL, Python, scikit-learn, data visualizations and machine learning. You’ll lead technical workshops teaching the basics of data science..."
Senior Data Scientist,"Alpharetta, GA 30022",Verizon,Nothing_found,"As a Senior Data Scientist, you’ll lead projects that develop and perform complex analyses using Big Data technologies...."
Entry Level Environmental Scientist,"Roswell, GA 30075","Atlantic Coast Consulting, inc.",Nothing_found,"Various field data collection and data reports. Salary will be very competitive, depending on experience, with an excellent benefits package which includes..."
Data Scientist - Supply Chain Inventory Optimization,"Atlanta, GA",Double Edge Capital LLC,"$100,000 - $150,000 a year","Data visualization skills (Power BI, Tableau, supply chain maps, etc.). Database (MS Access and SQL Server) and data transformation skills strongly desired...."
Conjugation Scientist,"Norcross, GA",Caprico Biotechnologies,Nothing_found,"Interested applicants please send a resume, cover letter, and 3 references. Critical analysis of analytical and process data, and the interpretation of results...."
Senior Research Analyst,"Atlanta, GA 30317 (Edgewood-Kirkwood area)",Southern Poverty Law Center,Nothing_found,Utilizes both formal training and self-learning to develop and maintain subject matter expertise across a range of issues and disciplines relevant to extremism;...
AFCEC Airbase Technologies Intern,"Atlanta, GA 30301 (Buckhead area)",Battelle,Nothing_found,"Our 22,000 employees work at the forefront of scientific innovation to tackle critical challenges in security, human health, manufacturing, energy and..."
Process Scientist,"Athens, GA 30601",Noramco™,Nothing_found,Consults with more senior scientists and management where appropriate. Collaborates and consults with more senior scientists and managements as needed....
Data Scientist - Inventory Optimization (Supply Chain),"Atlanta, GA 30350",Newell Brands,Nothing_found,"Data visualization skills (Power BI, Tableau, supply chain maps, etc.). Database (MS Access and SQL Server) and data transformation skills strongly desired...."
Cloud Data Engineer,"Atlanta, GA",Cloudreach,Nothing_found,Collaborating with the customer's data scientists and data stewards/governors during workshop sessions to uncover more detailed business requirements related to...
Research and Data Analyst,"Savannah, GA 31401",Savannah College of Art and Design,Nothing_found,"The ideal candidate has experience with and understands relational databases and data mining, possesses excellent writer and verbal communication skills, and..."
Criminal Research Analyst,"Flowery Branch, GA",Lowers Risk Group,$10.50 an hour,Enters findings and results into internal system as either “clear” (no information found) or criminal record information discovered specific to WSS standard...
Senior Data Scientist - Marketing Analytics,"Atlanta, GA",GSMA,Nothing_found,"GSMA seeks a Data Scientist – Marketing Analytics, reporting to Director – Marketing Data, Insights & Analytics and based in either London, UK or Atlanta, GA,..."
Quantitative Finance Analyst,"Atlanta, GA 30308 (Old Fourth Ward area)",Bank of America,Nothing_found,Bank of America has an opportunity for a Quantitative Finance Analyst on the Wholesale Credit Risk Team within the Alternative Modelling Group (AMG) of Global...
Machine Learning Researcher - CIPHER,"Atlanta, GA 30318",Georgia Tech Research Institute,Nothing_found,The Machine Learning Researcher will perform basic and applied research on sponsored programs targeted at integrating machine learning and network defense and...
Data Science Instructor,"Atlanta, GA",Thinkful,$20 - $25 an hour,"Proficiency in SQL, Python, scikit-learn, data visualizations and machine learning. You’ll lead technical workshops teaching the basics of data science..."
Senior Data Scientist,"Alpharetta, GA 30022",Verizon,Nothing_found,"As a Senior Data Scientist, you’ll lead projects that develop and perform complex analyses using Big Data technologies...."
Entry Level Environmental Scientist,"Roswell, GA 30075","Atlantic Coast Consulting, inc.",Nothing_found,"Various field data collection and data reports. Salary will be very competitive, depending on experience, with an excellent benefits package which includes..."
Data Scientist - Supply Chain Inventory Optimization,"Atlanta, GA",Double Edge Capital LLC,"$100,000 - $150,000 a year","Data visualization skills (Power BI, Tableau, supply chain maps, etc.). Database (MS Access and SQL Server) and data transformation skills strongly desired...."
Conjugation Scientist,"Norcross, GA",Caprico Biotechnologies,Nothing_found,"Interested applicants please send a resume, cover letter, and 3 references. Critical analysis of analytical and process data, and the interpretation of results...."
Entry Level Environmental Scientist,"Roswell, GA 30075","Atlantic Coast Consulting, inc.",Nothing_found,"Various field data collection and data reports. Salary will be very competitive, depending on experience, with an..."
AI Data Science Sr. Manager - Financial Services (Conversational AI),"Atlanta, GA 30303 (Five Points area)",Accenture,Nothing_found,"We’re also the world’s largest team of data scientists, data engineers, and experts in machine learning and AI...."
"Manager, Data Scientist, Machine Learning","Atlanta, GA 30338",KPMG,Nothing_found,"Minimum of five years of experience leading teams of at least five data scientists, engineers, and other data &..."
"Software Engineer (Entry Level) Warner Robins, GA - ELSYS","Warner Robins, GA 31088",Georgia Tech Research Institute,Nothing_found,"A Master’s degree in Computer or Electrical Engineering, Computer Science, Physics, Mathematics, or related field and..."
"Scientist, Asst Bioinformatics","Atlanta, GA",Emory University,Nothing_found,"Qualification for this position requires demonstrated expertise in designing and developing software, databases, and..."
UX Researcher II,"Alpharetta, GA 30004",ADP,Nothing_found,"At ADP, the world's largest B2B cloud company, our Technology team is comprised of brilliant engineers, architects, data..."
Senior Research Analyst,"Atlanta, GA 30317 (Edgewood-Kirkwood area)",Southern Poverty Law Center,Nothing_found,Utilizes both formal training and self-learning to develop and maintain subject matter expertise across a range of...
TA Specialist/Research Analyst,"Atlanta, GA 30337",ICP Systems LLC,Nothing_found,"The mission of HRSA is to improve health and achieve health equity through access to quality health services, a skilled..."
"Director, Data Scientist, Natural Language Processing","Atlanta, GA 30338",KPMG,Nothing_found,"Minimum of ten years of experience leading teams of at least ten data scientists, engineers, and other data & analytics..."
Investment Research Analyst,"Atlanta, GA",eVestment,Nothing_found,Analysts partner with eVestment’s Consultant and Investor clients to design and launch data collection campaigns that...
Data Engineer,"Atlanta, GA","FraudScope, Inc.",Nothing_found,"We are seeking a talented data engineer with experience in data analytics, building large reservoirs of data, and..."
Data Science Instructor,"Atlanta, GA",Thinkful,$20 - $25 an hour,"Proficiency in SQL, Python, scikit-learn, data visualizations and machine learning...."
Senior Data Scientist,"Alpharetta, GA 30022",Verizon,Nothing_found,"As a Senior Data Scientist, you’ll lead projects that develop and perform complex analyses using Big Data technologies...."
Data Scientist - Supply Chain Inventory Optimization,"Atlanta, GA",Double Edge Capital LLC,"$100,000 - $150,000 a year","Data visualization skills (Power BI, Tableau, supply chain maps, etc.)...."
Conjugation Scientist,"Norcross, GA",Caprico Biotechnologies,Nothing_found,"Caprico Biotechnologies, Inc. (CBI), an Atlanta-based start-up biotech company, is focused on the development and..."
Data Scientist - Supply Chain Inventory Optimization,"Atlanta, GA",Double Edge Capital LLC,"$100,000 - $150,000 a year","Data visualization skills (Power BI, Tableau, supply chain maps, etc.). Database (MS Access and SQL Server) and data transformation skills strongly desired...."
SENIOR DATA ANALYST - DISTRIBUTION ANALYTICS,"Atlanta, GA 30301 (Buckhead area)",The Home Depot,Nothing_found,And operates under minimal supervision and mentorship of more experienced managers and data scientists. Prior direct experience in analyzing the relevant...
Pricing Consultants,"Atlanta, GA",Prorize,Nothing_found,"This position includes business process design, documentation, data analysis, software quality assurance, project planning, and project management...."
Visual Designer,"Atlanta, GA 30319",IBM,Nothing_found,"Turn insights and data into compelling visualizations that are valuable and delightful. Data viz a plus. At TWC we use science, data and user-driven insights to..."
Data & Analytics Consultant (ATL),"Atlanta, GA",Systems Evolution Inc.,Nothing_found,"Ideal candidates may call themselves Data Engineers, Data Scientists and Analysts and Data Governance professionals. Reporting and Data Visualization...."
Senior Data Scientist - Marketing Analytics,"Atlanta, GA",GSMA,Nothing_found,"GSMA seeks a Data Scientist – Marketing Analytics, reporting to Director – Marketing Data, Insights & Analytics and based in either London, UK or Atlanta, GA,..."
Imaging Scientist,"Atlanta, GA",Emory University,Nothing_found,Applicants applying with a M.D. Assisting researchers with experimental design focused on producing data for publications and grants....
Senior Data Scientist - Product Analytics,"Atlanta, GA",UserTesting,Nothing_found,"In addition to mentoring and supporting a team of Data Scientists, you will apply statistical models and analytics to inform product tactics and strategy...."
Incident Response Analyst,"Atlanta, GA 30329",ICF,Nothing_found,Our extensive customer base has benefited from the leading-edge work our security engineers and data scientists perform in maintaining and advancing situational...
"Vice President, Data Strategy and DecisionSource Platform","Atlanta, GA",BCD Travel Corporate,Nothing_found,The role will also lead BCD's team of Data Scientists focused on developing algorithmic robotic optimization engines....
Data Scientist - Inventory Optimization (Supply Chain),"Atlanta, GA 30350",Newell Brands,Nothing_found,"Data visualization skills (Power BI, Tableau, supply chain maps, etc.). Database (MS Access and SQL Server) and data transformation skills strongly desired...."
Senior Data Scientist,"Alpharetta, GA 30022",Verizon,Nothing_found,"As a Senior Data Scientist, you’ll lead projects that develop and perform complex analyses using Big Data technologies...."
Data Science Instructor,"Atlanta, GA",Thinkful,$20 - $25 an hour,"Proficiency in SQL, Python, scikit-learn, data visualizations and machine learning. You’ll lead technical workshops teaching the basics of data science..."
Conjugation Scientist,"Norcross, GA",Caprico Biotechnologies,Nothing_found,"Interested applicants please send a resume, cover letter, and 3 references. Critical analysis of analytical and process data, and the interpretation of results...."
Entry Level Environmental Scientist,"Roswell, GA 30075","Atlantic Coast Consulting, inc.",Nothing_found,"Various field data collection and data reports. Salary will be very competitive, depending on experience, with an excellent benefits package which includes..."
